63, 190
65, 145
69, 160
66, 130
63, 120
65, 125
68, 124
64, 135
64, 98
66, 150
67, 160
67, 140
71, 170
60, 109
68, 170
63, 165
67, 147
63, 110
68, 160
60, 125
66, 142
65, 154
62, 119
65, 135
69, 195
63, 110
63, 140
64, 219
66, 135
66, 140
68, 135
68, 99
64, 100
62, 135
74, 200
63, 150
69, 163
71, 116
68, 145
71, 140
68, 125
66, 130
72, 157
68, 200
61, 110
64, 165
70, 115
67, 153
65, 135
62, 116
63, 122
66, 130
73, 180
66, 110
69, 190
68, 160
62, 115
66, 130
64, 110
70, 150
72, 185
70, 175
66, 200
68, 180
62, 135
63, 120
63, 134
72, 185
72, 160
68, 160
65, 143
68, 180
65, 130
65, 200
65, 195
66, 160
70, 195
63, 120
69, 120
64, 110
67, 140
66, 104
63, 125
71, 140
68, 190
65, 125
66, 125
64, 125
72, 245
74, 235
62, 130
68, 135
62, 120
63, 155
65, 130
64, 130
74, 200
70, 145
68, 140
69, 135
61, 124
66, 125
76, 216
66, 120
62, 103
65, 162
69, 165
73, 164
70, 153
75, 172
58, 103
63, 135
68, 160
69, 141
67, 145
68, 148
67, 180
70, 150
70, 160
60, 170
70, 210
66, 175
64, 130
72, 172
64, 108
72, 190
66, 142
69, 235
72, 145
66, 143
70, 141
64, 110
70, 196
65, 118
72, 200
61, 145
63, 110
65, 115
70, 170
66, 160
62, 123
65, 135
68, 140
65, 160
60, 150
72, 168
61, 100
62, 100
66, 135
67, 155
62, 135
64, 200
66, 140
62, 185
65, 125
72, 165
64, 95
72, 155
65, 110
67, 165
65, 132
66, 125
64, 120
63, 130
66, 130
63, 115
59, 160
64, 150
64, 130
61, 120
66, 150
66, 250
71, 150
70, 180
69, 210
61, 105
64, 140
