0,24,1
0.1,23.5,1
0.2,23.4,1
0.3,23.3,1
0.4,23.2,1
0.5,23.1,1
1,23,1
1.1,23.5,1
1.2,23.4,1
1.3,23.3,1
1.4,23.2,1
1.5,23.1,1
2,22,1
2.1,22.5,1
2.2,22.4,1
2.3,22.3,1
2.4,22.2,1
2.5,22.1,1
3,21,1
3.1,21.5,1
3.2,21.4,1
3.3,21.3,1
3.4,21.2,1
3.5,21.1,1
4,20,1
4.1,20.5,1
4.2,20.4,1
4.3,20.3,1
4.4,20.2,1
4.5,20.1,1
5,19,1
5.1,19.5,1
5.2,19.4,1
5.3,19.3,1
5.4,19.2,1
5.5,19.1,1
6,18,1
6.1,18.5,1
6.2,18.4,1
6.3,18.3,1
6.4,18.2,1
6.5,18.1,1
7,17,1
7.1,17.5,1
7.2,17.4,1
7.3,17.3,1
7.4,17.2,1
7.5,17.1,1
8,16,0
8.1,16.5,0
8.2,16.4,0
8.3,16.3,0
8.4,16.2,0
8.5,16.1,0
9,15,0
9.1,15.5,0
9.2,15.4,0
9.3,15.3,0
9.4,15.2,0
9.5,15.1,0
10,14,0
10.1,14.5,0
10.2,14.4,0
10.3,14.3,0
10.4,14.2,0
10.5,14.1,0
11,13,0
11.1,13.5,0
11.2,13.4,0
11.3,13.3,0
11.4,13.2,0
11.5,13.1,0
12,12,0
12.1,12.5,0
12.2,12.4,0
12.3,12.3,0
12.4,12.2,0
12.5,12.1,0
13,11,0
13.1,11.5,0
13.2,11.4,0
13.3,11.3,0
13.4,11.2,0
13.5,11.1,0
14,10,0
14.1,10.5,0
14.2,10.4,0
14.3,10.3,0
14.4,10.2,0
14.5,10.1,0
15,9,0
15.1,9.5,0
15.2,9.4,0
15.3,9.3,0
15.4,9.2,0
15.5,9.1,0
16,8,0
16.1,8.5,0
16.2,8.4,0
16.3,8.3,0
16.4,8.2,0
16.5,8.1,0
17,7,0
17.1,7.5,0
17.2,7.4,0
17.3,7.3,0
17.4,7.2,0
17.5,7.1,0
18,6,0
18.1,6.5,0
18.2,6.4,0
18.3,6.3,0
18.4,6.2,0
18.5,6.1,0
19,5,0
19.1,5.5,0
19.2,5.4,0
19.3,5.3,0
19.4,5.2,0
19.5,5.1,0
20,4,0
20.1,4.5,0
20.2,4.4,0
20.3,4.3,0
20.4,4.2,0
20.5,4.1,0
21,3,0
21.1,3.5,0
21.2,3.4,0
21.3,3.3,0
21.4,3.2,0
21.5,3.1,0
22,2,0
22.1,2.5,0
22.2,2.4,0
22.3,2.3,0
22.4,2.2,0
22.5,2.1,0
23,1,0
23.1,1.5,0
23.2,1.4,0
23.3,1.3,0
23.4,1.2,0
23.5,1.1,0
24,0,0
